Category,Calcium,Carbohydrate,Fiber,VitaminA,Sugar_Level,Fat_Level,Protein_Level
Macaroni or pasta salad with tuna and egg,13.0,19.35,1.1,18.0,Low,Medium,Medium
Macaroni or pasta salad with chicken,9.0,20.93,1.2,6.0,Low,Medium,Medium
Dukboki or Tteokbokki,20.0,19.91,1.0,25.0,Low,Low,Low
Jelly sandwich,111.28571428571429,50.65714285714286,2.9142857142857146,0.0,High,Low,Medium
Soup,19.0,8.016,0.54,22.2,Low,Low,Low
Sopa Seca de Fideo,15.0,16.58,1.3,35.0,Low,Medium,Low
Apple,18.25,33.0025,3.85,8.75,High,Low,Low
Apricot,25.0,29.203333333333333,3.6,122.0,High,Low,Low
Currants,88.0,76.98,4.4,4.0,High,Low,Low
Tamarind,70.5,64.35499999999999,4.85,1.5,High,Low,Low
Applesauce,3.8333333333333335,12.983333333333333,1.4333333333333333,0.3333333333333333,Medium,Low,Low
Grapes,10.0,18.1,0.9,3.0,High,Low,Low
Strawberries,15.0,13.446666666666667,1.9333333333333336,1.3333333333333333,Medium,Low,Low
Mixed fruit juice with lowfat yogurt,81.0,14.68,0.4,5.0,Medium,Low,Low
Fruit Supreme dessert,6.0,17.18,2.0,3.0,Medium,Low,Low
Apple yogurt dessert,6.0,19.5,0.5,3.0,Medium,Low,Low
Taro,45.0,27.55,4.3,15.0,Low,Low,Low
Fufu,31.0,33.59,3.1,14.0,Low,Low,Low
Beet greens,119.5,4.42,3.8,320.0,Low,Low,Low
Cress,83.0,5.615,1.1,350.0,Low,Low,Low
Watercress broth with shrimp,54.0,1.38,0.1,28.0,Low,Low,Medium
Tomato and vegetable juice,12.5,4.23,0.65,56.5,Low,Low,Low
Tomato sandwich,99.0,23.61,1.6,21.0,Low,Medium,Low
Green beans,38.0,5.998181818181819,2.39090909090909,32.13636363636363,Low,Low,Low
Cobb salad,26.0,2.48,1.2,57.0,Low,Low,Medium
Burdock,43.0,18.06,3.4,12.0,Low,Low,Low
Christophine,18.0,4.7,1.8,12.0,Low,Low,Low
Peppers and onions,18.0,8.100000000000001,1.95,38.0,Low,Low,Low
Vegetable mixture,234.0,47.79,18.7,988.0,High,Medium,High
Stuffed jalapeno pepper,124.0,16.35,2.5,125.0,Low,Medium,Medium
Eggplant dip,97.0,9.63,4.0,7.0,Low,Medium,Low
Mustard,63.0,5.3,4.3,4.0,Low,Low,Low
Olives,68.5,4.984999999999999,2.4,22.5,Low,Medium,Low
Wasabi paste,41.0,46.13,6.1,0.0,Medium,Medium,Low
Vegetable beef soup with rice,11.0,5.1899999999999995,0.75,56.5,Low,Low,Low
Pancake syrup,7.5,57.074999999999996,0.0,0.0,High,Low,Low
Blueberry syrup,8.0,85.13,0.1,0.0,High,Low,Low
Simple syrup,2.0,45.58,0.0,0.0,High,Low,Low
Popsicle,0.0,14.793333333333335,0.0,0.0,Medium,Low,Low
Fruit leather and fruit snacks candy,25.0,84.31,0.0,4.0,High,Low,Low
Tamarind candy,0.0,91.96,2.5,1.0,High,Low,Low
Reese's Sticks,70.0,55.38,3.3,14.0,High,High,Medium
Pineapple candy,23.0,84.86,1.2,3.0,High,Low,Low
Easter egg,105.0,71.19,2.8,56.0,High,High,Low
Dietetic or low calorie hard candy,0.0,98.6,0.0,0.0,Low,Low,Low
Frozen daiquiri mix,2.5,43.985,0.0,0.5,High,Low,Low
Margarita mix,2.0,21.4,0.0,0.0,High,Low,Low
Oatmeal beverage with milk,56.0,15.49,0.2,14.0,Medium,Low,Low
Shirley Temple,4.0,14.17,0.1,0.0,Medium,Low,Low
Alcoholic malt beverage,5.333333333333333,6.3999999999999995,0.0,0.0,Medium,Low,Low
Cape Cod,2.0,10.18,0.0,0.0,Medium,Low,Low
Grasshopper,33.0,32.07,0.0,30.0,High,Low,Low
Jagerbomb,4.0,18.07,0.0,0.0,High,Low,Low
Seabreeze,7.0,7.94,0.1,1.0,Medium,Low,Low
Whiskey and diet cola,2.0,0.22,0.0,0.0,Low,Low,Low
Vodka and energy drink,5.0,7.7,0.0,0.0,Medium,Low,Low
Black Russian,0.0,21.21,0.0,0.0,High,Low,Low
Nutritional powder mix (EAS Whey Protein Powder),256.0,17.95,0.0,15.0,Medium,Medium,High
Sports drink (Gatorade G),1.0,6.43,0.0,0.0,Medium,Low,Low
Ice cream bar,100.33333333333333,28.929999999999996,1.1333333333333335,24.333333333333332,High,High,Low
Cheese,605.3166666666667,5.2746666666666675,0.06333333333333334,170.86666666666667,Low,Medium,High
Cream cheese spread,351.0,7.66,0.0,11.0,Medium,Low,High
Cheese ball,393.0,5.57,1.5,206.0,Low,High,High
Artichoke dip,101.0,5.47,0.9,62.0,Low,High,Low
Welsh rarebit,241.0,6.33,0.1,150.0,Low,Medium,Medium
Pork roll,0.0,4.49,0.0,0.0,Low,High,Medium
Salt pork,11.0,0.0,0.0,9.0,Low,High,Low
Deer chop,6.0,0.0,0.0,0.0,Low,Medium,High
Chicken stick,73.0,1.5,0.2,3.0,Low,Medium,Medium
Brains,9.0,1.47,0.0,6.0,Low,Medium,Medium
Tongue,5.5,0.0,0.0,0.0,Low,High,High
Beef sausage,18.0,5.59,0.0,15.333333333333334,Low,High,High
Chorizo,37.0,2.63,0.0,0.0,Low,High,High
Polish sausage,42.0,5.03,0.0,9.0,Low,High,Medium
Mullet,58.75,5.69,0.3,39.875,Low,Medium,High
Perch,104.17647058823529,7.481764705882352,0.39999999999999997,32.1764705882353,Low,Low,High
Pike,78.71428571428571,7.075714285714286,0.38571428571428573,25.571428571428573,Low,Medium,High
Crab,101.88888888888889,5.442222222222222,0.25555555555555554,15.0,Low,Low,High
Snails,12.0,2.48,0.0,30.0,Low,Medium,High
Beef goulash,17.0,2.79,0.4,5.0,Low,Low,Medium
Creamed chipped or dried beef,110.0,7.57,0.1,110.0,Low,Medium,Medium
Beef curry with rice,16.0,15.08,1.0,28.0,Low,Low,Medium
Beef with sweet and sour sauce,32.0,16.01,0.8,5.0,Medium,Medium,Medium
Ham stroganoff,34.0,4.97,0.7,32.0,Low,Medium,Medium
Lamb or mutton with gravy,15.0,1.58,0.0,0.0,Low,Medium,High
Spaghetti sauce with poultry,26.0,6.54,1.5,29.0,Low,Low,Medium
Spaghetti sauce with poultry and added vegetables,23.0,6.04,1.4,30.0,Low,Low,Medium
Stewed chicken with tomato-based sauce,12.0,2.46,0.5,8.0,Low,Medium,Medium
Chicken or turkey cordon bleu,97.0,9.26,0.6,50.0,Low,Medium,High
Fish curry,25.0,6.58,1.4,54.0,Low,Medium,Low
Ceviche,25.0,3.58,0.5,25.0,Low,Low,Medium
Beef and rice with cream sauce,41.0,15.89,0.2,38.0,Low,Medium,Medium
Meat loaf made with beef,60.666666666666664,7.039999999999999,0.5,16.0,Low,Medium,High
Chicken or turkey and potatoes with gravy,11.0,8.9,0.9,2.0,Low,Medium,Medium
Chicken or turkey souffle,76.0,5.5,0.1,121.0,Low,Medium,Medium
Scallops and noodles with cheese sauce,101.0,15.05,0.6,28.0,Low,Medium,Medium
Shrimp and noodles with cream or white sauce,59.0,16.25,0.7,59.0,Low,Medium,Medium
Shrimp and noodles with tomato sauce,25.0,15.39,1.1,25.0,Low,Medium,Medium
Flounder with crab stuffing,65.0,5.72,0.3,49.0,Low,Medium,High
Lobster with bread stuffing,110.0,9.83,0.5,59.0,Low,Medium,Medium
Hash,19.0,9.27,1.1,0.0,Low,Medium,Medium
Beef stew with potatoes and vegetables including carrots,14.5,8.41,1.2999999999999998,58.0,Low,Low,Medium
Beef chow mein or chop suey with noodles,19.0,11.17,1.5,9.0,Low,Low,Medium
Sweet and sour pork with rice,28.0,19.75,0.9,8.0,Medium,Medium,Medium
Chicken or turkey,36.86046511627907,13.297441860465115,1.1465116279069765,67.81395348837209,Low,Medium,Medium
Tuna noodle casserole with vegetables and mushroom sauce,34.0,12.97,1.0,29.0,Low,Low,Medium
Goulash,14.0,8.7,0.9,35.0,Low,Medium,High
Paella,20.0,15.79,0.6,16.0,Low,Medium,Medium
Beef and vegetables excluding carrots,14.666666666666666,5.34,0.9666666666666667,6.333333333333333,Low,Medium,Medium
Pepper steak,17.0,4.42,0.7,9.0,Low,Medium,Medium
Cabbage with ham hocks,30.0,4.5,1.7,5.0,Low,Low,Medium
Chicken or turkey divan,97.0,3.99,1.3,68.0,Low,Medium,High
Crab salad made with imitation crab,18.0,8.58,0.6,9.0,Low,Medium,Low
Lomi salmon,88.0,3.31,1.0,30.0,Low,Low,Medium
Beef sandwich,197.0,18.68,0.6,18.0,Low,Medium,Medium
Cheeseburger (Burger King),239.0,23.87,1.0,35.0,Low,Medium,Medium
Double cheeseburger (Burger King),284.0,17.2,0.7,47.0,Low,Medium,High
Hamburger slider,76.0,24.445,0.85,0.0,Low,Medium,High
Bacon and egg sandwich,114.0,21.23,1.0,70.0,Low,Medium,Medium
Hot ham and cheese sandwich,203.0,14.86,0.7,39.0,Low,Medium,Medium
Crab cake sandwich,122.0,18.12,0.9,12.0,Low,Medium,Medium
Sardine sandwich,306.0,21.87,1.0,18.0,Low,Medium,High
Salami sandwich,141.0,31.36,1.5,4.0,Low,Medium,Medium
Fish in lemon-butter sauce with starch item,12.0,10.98,1.1,34.0,Low,Low,Medium
Meat loaf dinner,46.0,10.1,1.2,32.0,Low,Medium,Medium
Meat and corn hominy soup,8.0,5.11,0.4,2.0,Low,Low,Medium
Chicken or turkey soup with vegetables,20.0,2.26,0.6,113.0,Low,Low,Medium
Fish and vegetable soup,27.0,1.47,0.3,18.0,Low,Low,Medium
Lobster gumbo,55.0,4.61,0.9,18.0,Low,Low,Medium
Shrimp gumbo,66.0,4.61,0.9,18.0,Low,Low,Medium
Seafood soup with potatoes and vegetables including carrots,29.0,4.07,0.8,34.0,Low,Low,Low
Duck egg,60.0,1.36,0.0,205.0,Low,Medium,Medium
Egg white omelet,7.285714285714286,0.7314285714285715,0.0,20.857142857142858,Low,Low,Medium
White beans,81.0,27.001666666666665,6.516666666666667,0.0,Low,Low,Medium
Pinto beans with meat,39.0,21.07,7.2,1.0,Low,Medium,Medium
Lentil curry with rice,19.0,18.57,2.2,22.0,Low,Low,Low
Miso sauce,20.0,13.99,1.2,2.0,Medium,High,Low
Worcestershire sauce,107.0,19.17,0.0,5.0,Medium,Low,Low
Black bean soup,19.0,7.71,3.4,11.0,Low,Low,Low
Pinto bean soup,42.0,23.59,5.8,19.0,Low,Low,Medium
Split pea soup,14.5,10.855,1.9,15.5,Low,Low,Low
Vegetarian,95.0,9.0,6.1,0.0,Low,Medium,High
Soyburger,248.0,24.76,3.1,30.0,Medium,Medium,Medium
Hazelnuts,114.0,16.7,9.7,1.0,Low,High,Medium
Almond paste,172.0,47.81,4.8,0.0,High,High,Medium
Coconut water,7.0,6.655,0.0,0.0,Medium,Low,Low
Focaccia,35.0,35.82,1.8,0.0,Low,Medium,Medium
Melba toast,93.0,76.6,6.3,0.0,Low,Low,Medium
Spoonbread,128.0,18.54,0.7,116.0,Low,Medium,Medium
Crepe,74.0,19.685714285714287,0.7,86.0,Medium,Medium,Medium
Cereal or granola bar (General Mills Fiber One Chewy Bar),250.0,69.82,22.5,0.0,High,Medium,Medium
Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),65.0,66.72,7.5,267.0,High,Medium,Medium
Nutrition bar (Clif Bar),368.0,65.44,7.4,1.0,High,Medium,Medium
Corn nuts,9.0,71.86,6.9,0.0,Low,Medium,Medium
Popcorn chips,141.0,74.31666666666668,4.666666666666667,3.6666666666666665,Low,Medium,Medium
Dosa (Indian),16.5,33.92,2.0,0.5,Low,Low,Medium
Cereal (Post Alpha-Bits),35.0,80.3,7.1,741.0,High,Low,Medium
Cereal (Kellogg's Apple Jacks),12.0,88.2,9.3,527.0,High,Low,Medium
Cereal (Quaker Christmas Crunch),11.0,85.92,2.6,27.0,High,Low,Low
Cereal (General Mills 25% Less Sugar Cinnamon Toast Crunch),714.0,78.19,11.2,426.0,High,Medium,Medium
Cereal (General Mills Cocoa Puffs),370.0,83.7,5.7,527.0,High,Medium,Medium
Cereal (Post Honey Bunches of Oats with Vanilla Bunches),33.0,81.8,7.8,527.0,High,Medium,Medium
Cereal (Kellogg's Honey Smacks),14.0,88.5,5.0,556.0,High,Low,Medium
Cereal (Kashi GOLEAN),119.0,67.19,20.1,5.0,High,Low,High
Cereal (Malt-O-Meal Colossal Crunch),0.0,81.59,1.7,479.0,High,Medium,Low
Cereal (Malt-O-Meal Golden Puffs),14.0,88.5,5.0,556.0,High,Low,Medium
Cereal (Malt-O-Meal Toasted Oat Cereal),357.0,73.2,10.1,990.0,Low,Medium,Medium
Cereal (General Mills Cheerios Multigrain),345.0,81.4,8.7,502.0,High,Low,Medium
Cereal (General Mills Reese's Puffs),345.0,75.6,4.7,495.0,High,Medium,Medium
Cereal (Kellogg's Special K Red Berries),24.0,87.09,8.5,499.0,High,Low,Medium
Rice cereal with apples,850.0,86.89,3.0,0.0,Low,Low,Medium
Oatmeal with applesauce and bananas,6.0,15.82,0.9,0.0,Medium,Low,Low
Taco or tostada with beans and sour cream,86.0,18.9,3.2,36.0,Low,Medium,Medium
Taco or tostada with chicken and beans,95.0,20.63,3.2,34.0,Low,Medium,Medium
Fajita with vegetables,129.0,15.84,1.8,58.0,Low,Medium,Medium
Pizza,196.74358974358975,29.50282051282051,2.7076923076923074,59.53846153846154,Low,Medium,Medium
Kibby,22.0,17.99,3.1,1.0,Low,Medium,Medium
Macaroni with tuna,54.0,18.12,0.9,58.0,Low,Low,Medium
Stewed rice,17.0,33.43,0.7,2.0,Low,Medium,Low
Biryani with vegetables,17.0,17.88,1.2,61.0,Low,Low,Low
Pinto beans and white rice,30.0,25.82,5.2,0.0,Low,Low,Medium
Upma,96.0,13.81,1.3,11.0,Low,Low,Low
Vegetable lasagna,84.0,14.83,1.6,90.0,Low,Medium,Medium
Chicken or turkey rice soup,24.75,5.2725,0.4,26.25,Low,Low,Low
Spaghetti,15.0,11.42,1.1,63.0,Low,Low,Low
Fig,74.33333333333333,34.14666666666667,4.966666666666668,3.6666666666666665,High,Low,Low
Apple pie filling,4.0,26.1,1.0,2.0,Medium,Low,Low
Blueberry pie filling,27.0,44.38,2.6,1.0,High,Low,Low
Fruit cocktail,6.0,14.103333333333333,0.9,11.666666666666666,Medium,Low,Low
Apple cider,8.0,11.3,0.2,0.0,Medium,Low,Low
Pomegranate juice,11.0,13.13,0.1,0.0,Medium,Low,Low
Fruit nectar,17.0,13.12,0.3,35.0,Medium,Low,Low
Apples,4.0,11.56,1.9,1.0,Medium,Low,Low
Apple-raspberry,5.0,15.86,2.033333333333333,1.6666666666666667,Medium,Low,Low
Prunes,21.0,23.52,2.7,3.0,Medium,Low,Low
Prunes with oatmeal,15.0,18.5,2.7,23.0,Medium,Low,Low
Apricots,8.333333333333334,16.8,1.5,36.0,Low,Low,Low
Potato salad,10.636363636363637,17.185454545454544,1.5454545454545454,2.4545454545454546,Low,Low,Low
Potato soup,40.666666666666664,7.663333333333334,0.6666666666666666,24.333333333333332,Low,Low,Low
Tannier,45.0,27.55,4.3,15.0,Low,Low,Low
Mustard greens,113.5,3.8800000000000003,2.6625,240.875,Low,Low,Low
Spinach souffle,102.0,7.1,1.1,247.0,Low,Medium,Medium
Broccoli cheese soup,83.0,6.28,0.9,62.0,Low,Low,Low
Spinach soup,73.0,2.88,0.8,177.0,Low,Low,Low
Calabaza,22.0,6.77,0.5,433.0,Low,Low,Low
Ketchup,15.0,27.4,0.3,26.0,High,Low,Low
Spaghetti sauce with added vegetables,23.0,7.43,1.8,33.0,Low,Low,Low
Tomato soup,31.833333333333332,8.1,0.5666666666666667,21.333333333333332,Low,Low,Low
Sprouts,13.0,5.94,1.8,1.0,Low,Low,Low
Cactus,162.33333333333334,3.2933333333333334,2.1666666666666665,25.666666666666668,Low,Low,Low
Cauliflower,20.583333333333332,4.9174999999999995,2.2,6.333333333333333,Low,Low,Low
Celery,39.0,4.463333333333334,1.5333333333333332,24.0,Low,Low,Low
Jicama,12.0,8.82,4.9,1.0,Low,Low,Low
Ratatouille,21.0,5.74,1.9,20.0,Low,Low,Low
Pakora,19.0,16.24,3.2,3.0,Low,Low,Low
Horseradish,56.0,11.29,3.3,0.0,Medium,Low,Low
Mushroom soup,29.22222222222222,4.6033333333333335,0.2777777777777778,12.222222222222221,Low,Low,Low
Vegetable broth,3.0,0.93,0.0,12.0,Low,Low,Low
Corn and sweet potatoes,18.0,15.23,1.8,126.0,Low,Low,Low
Green beans and potatoes,60.0,9.0,1.4,14.0,Low,Low,Low
Puerto Rican pasteles,34.0,17.44,2.3,18.0,Medium,Medium,Medium
Cottonseed oil,0.0,0.0,0.0,0.0,Low,High,Low
Canola oil,0.0,0.0,0.0,0.0,Low,High,Low
Freezer pop,0.0,19.23,0.0,0.0,Medium,Low,Low
TWIX Chocolate Fudge Cookie Bars,130.0,56.0,3.0,9.0,High,High,Medium
TWIX Peanut Butter Cookie Bars,75.0,54.14,3.1,20.0,High,High,Medium
Milk chocolate candy,181.25,58.1125,4.3,53.5,High,High,Medium
Fruit snacks candy,0.0,87.97,0.0,0.0,High,Low,Low
SNICKERS Bar,93.0,61.51,2.3,46.0,High,High,Medium
100 GRAND Bar,76.0,70.97,1.0,38.0,High,Medium,Low
Nut roll,94.0,52.88,3.8,0.0,High,High,Medium
Iced Coffee,3.6666666666666665,1.6466666666666667,0.0,2.3333333333333335,Low,Low,Low
Chicory beverage,6.0,1.42,0.0,0.0,Low,Low,Low
Cornmeal beverage,59.0,16.3,0.2,14.0,Medium,Low,Low
Cornmeal beverage with chocolate milk,63.0,20.88,0.4,14.0,High,Low,Low
Whiskey and cola,1.0,7.8,0.0,0.0,Medium,Low,Low
Liqueur with cream,16.0,20.9,0.0,173.0,High,Medium,Low
Frozen daiquiri,1.0,17.65,0.0,0.0,High,Low,Low
Nutritional powder mix (Slim Fast),364.0,73.92,18.1,1034.0,High,Medium,Medium
Energy drink (Red Bull),6.0,10.23,0.0,0.0,Medium,Low,Low
Energy drink,4.555555555555555,0.8933333333333334,0.0,0.0,Low,Low,Low
Kefir,124.0,7.48,0.0,174.0,Medium,Low,Low
Licuado or Batido,83.0,13.1,0.7,38.0,Medium,Low,Low
Whey,796.0,74.46,0.0,8.0,High,Low,Medium
Ice cream cone,120.0909090909091,30.295454545454547,0.9090909090909093,90.72727272727273,High,Medium,Low
Ice cream soda,34.5,14.625,0.25,31.0,Medium,Low,Low
Imitation cheese,705.0,1.0,0.0,115.0,Low,High,High
Cheese sauce,109.5,8.64,0.2,41.5,Low,Medium,Low
Ground beef,20.5,0.0,0.0,3.5,Low,Medium,High
Pork chop,20.041666666666668,4.747083333333333,0.25000000000000006,3.0,Low,Medium,High
Venison/deer steak,23.0,6.18,0.4,6.5,Low,Medium,High
Venison/deer jerky,18.0,14.72,0.0,0.0,Medium,High,High
"Chicken ""wings"" with other sauces or seasoning",38.666666666666664,11.520000000000001,0.20000000000000004,19.666666666666668,Medium,Medium,High
"Chicken ""wings""",37.4,14.906,0.6599999999999999,16.2,Low,Medium,High
Tongue pot roast,16.0,0.34,0.1,0.0,Low,High,High
Shark,51.285714285714285,5.1085714285714285,0.2571428571428571,72.0,Low,Medium,High
Oysters,80.6,7.882,0.24,27.0,Low,Medium,Medium
Beef stew,14.0,3.77,0.8250000000000001,27.25,Low,Medium,Medium
Ham or pork with gravy,16.0,1.58,0.0,2.0,Low,Medium,High
Lobster with butter sauce,88.0,0.01,0.0,76.0,Low,Medium,High
Sweet and sour shrimp,44.0,15.53,0.8,28.0,Medium,Medium,Medium
Crabs in tomato-based sauce,73.0,2.96,0.6,7.0,Low,Medium,Medium
Shrimp in garlic sauce,52.0,2.51,0.2,162.0,Low,High,Medium
Ham and noodles,10.0,15.88,0.8,4.0,Low,Medium,Medium
Lamb or mutton and potatoes with tomato-based sauce,12.0,12.48,1.5,7.0,Low,Medium,Medium
Chicken or turkey and rice,10.0,16.97,0.2,2.0,Low,Medium,Medium
Chicken or turkey and rice with mushroom sauce,22.0,15.44,0.4,7.0,Low,Medium,Medium
Codfish ball or cake,31.0,10.57,1.2,46.0,Low,Medium,Medium
Shrimp and noodles,26.0,16.43,0.8,21.0,Low,Medium,Medium
Mackerel cake or patty,171.0,10.76,1.2,108.0,Low,Medium,High
Tuna noodle casserole with cream or white sauce,65.0,15.4,0.7,76.0,Low,Medium,Medium
Meat loaf made with beef and pork,58.0,6.96,0.55,21.0,Low,Medium,High
Shepherd's pie with beef,16.0,14.1,1.4,25.0,Low,Low,Medium
Stuffed grape leaves with beef and rice,99.0,11.32,3.1,337.0,Low,Medium,Medium
Beef pot pie,11.0,17.09,1.2,86.0,Low,Medium,Medium
Tuna pot pie,25.0,16.5,1.3,152.0,Low,Medium,Medium
Stewed tripe,43.0,9.45,1.7,49.0,Low,Low,Medium
Veal with vegetables excluding carrots,40.0,6.68,0.9,41.0,Low,Medium,Medium
Chicken or turkey and vegetables including carrots,43.0,4.2059999999999995,1.1600000000000001,139.6,Low,Medium,Medium
Shrimp salad,83.0,1.22,0.4,8.0,Low,Medium,Medium
Kung Pao shrimp,59.0,5.56,1.1,58.0,Low,Medium,Medium
Liver,12.0,6.97,0.5,4727.0,Low,Low,High
Roast beef sandwich,56.5,17.990000000000002,1.0,1.0,Low,Medium,Medium
Roast beef sandwich with cheese,256.0,18.09,0.8,35.0,Low,Medium,High
Bacon on biscuit,62.0,37.56,2.2,17.0,Low,High,Medium
Ham salad sandwich,91.0,19.92,1.1,7.0,Low,Medium,Medium
Tuna salad wrap sandwich,156.0,16.87,1.3,40.0,Low,Medium,Medium
Chicken and noodles with vegetable,15.0,17.68,1.3,6.0,Low,Low,Medium
Teriyaki chicken with rice and vegetable,13.0,22.46,0.7,32.0,Low,Low,Medium
Chicken and vegetables au gratin with rice,100.0,7.37,0.8,115.0,Low,Medium,Medium
Shrimp and vegetables in sauce with noodles,32.0,13.44,1.5,129.0,Low,Low,Medium
Beef vegetable soup with potato,18.0,6.16,1.2,115.0,Low,Low,Low
Chicken or turkey and corn hominy soup,8.0,5.11,0.4,3.0,Low,Low,Medium
Egg,92.29268292682927,8.129024390243902,0.20487804878048776,143.6341463414634,Low,Medium,Medium
Egg Salad,40.0,4.29,0.4,116.0,Low,Medium,Medium
Ripe plantain omelet,28.0,18.09,0.9,98.0,Medium,Medium,Medium
Egg drop soup,7.0,4.29,0.4,20.0,Low,Low,Low
Bacon bits,101.0,28.6,10.2,0.0,Low,High,High
Luncheon slice,41.0,4.44,1.1,0.0,Low,Medium,High
Peanut butter and jelly,28.0,46.12,2.9,0.0,High,High,Medium
Pannetone,53.0,53.74,2.3,68.0,High,Medium,Medium
Baklava,27.0,38.58,2.1,150.0,Medium,High,Medium
Breakfast pastry,46.0,47.8,1.9,15.0,High,Medium,Medium
Potato chips,44.111111111111114,60.69740740740741,4.092592592592592,5.925925925925926,Low,High,Medium
Popcorn,21.242424242424242,61.02363636363637,10.193939393939395,19.757575757575758,Medium,High,Medium
Pretzels,58.9,69.90624999999999,2.5175,13.9,Medium,Medium,Medium
Cake or pancake made with rice flour and/or dried beans,10.0,24.98,5.8,0.0,Low,Low,Medium
Bulgur,10.333333333333334,18.093333333333334,4.3999999999999995,18.0,Low,Low,Low
Cereal (Post Honey Bunches of Oats with Almonds),35.0,79.6,5.5,680.0,High,Medium,Medium
Cereal (Quaker Life),351.0,77.74,6.6,2.0,High,Low,Medium
Cereal (Malt-O-Meal Marshmallow Mateys),333.0,82.77,4.9,500.0,High,Low,Medium
Cereal (Kellogg's Special K Blueberry),18.0,86.3,8.6,745.0,High,Low,Medium
Burrito with chicken and beans,217.0,18.0,2.1,48.0,Low,Medium,Medium
Enchilada with beans,78.5,14.265,3.1500000000000004,20.0,Low,Medium,Low
Soft taco with beans and sour cream,98.0,19.55,2.8,33.0,Low,Medium,Medium
Taco or tostada salad with meat,85.0,16.4,2.9,30.0,Low,Medium,Medium
Chimichanga with chicken,130.0,28.28,3.0,20.0,Low,Medium,Medium
Chimichanga with chicken and sour cream,128.0,25.79,2.7,32.0,Low,Medium,Medium
Quesadilla with meat,288.0,29.02,2.0,92.0,Low,Medium,Medium
Puffs,50.0,35.05,1.2,114.0,Low,Medium,Medium
Cornmeal stick,80.0,48.38,2.4,35.0,Low,High,Medium
Croissant sandwich with bacon and egg,43.0,22.09,1.2,172.0,Medium,High,Medium
Ravioli,67.05882352941177,15.910588235294119,0.8529411764705883,66.0,Low,Medium,Medium
Pasta with tomato-based sauce and meat,15.666666666666666,18.543333333333333,1.5666666666666667,12.666666666666666,Low,Medium,Medium
Kidney beans and rice,19.0,23.17,4.2,0.0,Low,Medium,Medium
Lasagna with cheese and meat sauce,79.0,12.37,1.1,35.0,Low,Low,Medium
Beef enchilada dinner,35.0,16.73,2.2,10.0,Low,Low,Medium
Cranberries,8.5,47.385,4.45,2.5,High,Low,Low
Sorbet,3.0,27.12,0.5,0.0,High,Low,Low
Cranberry juice blend,15.0,11.685,0.15000000000000002,0.5,Medium,Low,Low
Grape juice,21.666666666666668,14.973333333333334,0.13333333333333333,1.3333333333333333,Medium,Low,Low
Soursop,7.0,14.93,0.1,0.0,Medium,Low,Low
Orange-carrot juice,16.0,9.9,0.4,94.0,Medium,Low,Low
Banana yogurt dessert,30.0,17.35,0.5,3.0,Medium,Low,Low
Potato from Puerto Rican chicken fricassee,9.0,14.62,1.2,0.0,Low,Low,Low
Lefse (Norwegian),17.0,36.12,2.0,53.0,Low,Medium,Low
Dandelion greens,191.0,9.39,3.55,511.0,Low,Low,Low
Spinach and cheese casserole,244.0,9.91,2.8,426.0,Low,Medium,Medium
Beet juice,12.0,5.91,1.1,1.0,Low,Low,Low
Tomato juice cocktail,14.0,3.87,0.5,35.0,Low,Low,Low
Tomato chili sauce,20.0,19.79,2.4,34.0,Medium,Low,Low
Barbecue sauce,33.0,40.77,0.9,11.0,High,Low,Low
Buffalo sauce,14.0,0.75,0.6,77.0,Low,Low,Low
Tomato aspic,10.0,4.7,0.3,18.0,Low,Low,Low
Tomato rice soup,11.0,8.54,0.7,12.0,Low,Low,Low
Chives,92.0,4.35,2.5,218.0,Low,Low,Low
Onions,38.625,9.18375,2.0374999999999996,17.625,Low,Low,Low
Parsley,138.0,6.33,3.3,421.0,Low,Low,Low
Pepper,16.0,5.537777777777778,2.3333333333333335,53.888888888888886,Low,Low,Low
Mixed vegetable juice,32.0,6.12,1.2,489.0,Low,Low,Low
Fried green beans,38.0,22.47,1.8,17.0,Low,Medium,Low
Daikon radish,25.0,3.3,1.5,11.0,Low,Low,Low
Olive tapenade,60.0,4.17,1.8,14.0,Low,High,Low
Cabbage soup,14.0,6.2,1.3,36.0,Low,Low,Low
Vegetable noodle soup,14.666666666666666,7.06,1.2333333333333334,46.666666666666664,Low,Low,Low
Vegetarian vegetable soup,10.0,4.9,0.3,71.0,Low,Low,Low
Carrots and peas,20.0,7.18,1.8,292.0,Low,Low,Low
Vegetables and rice,14.0,12.1,1.1,8.0,Low,Low,Low
Vegetable and chicken,27.0,8.540000000000001,1.6000000000000003,169.0,Low,Low,Low
Potatoes with cheese and broccoli,20.0,7.47,1.2,13.0,Low,Low,Low
Potato chicken pie,58.0,23.67,1.5,7.0,Low,High,High
Eggplant and meat casserole,58.0,4.66,1.5,29.0,Low,Medium,Medium
Margarine,13.333333333333334,0.7933333333333333,0.0,819.0,Low,High,Low
Ghee,4.0,0.0,0.0,840.0,Low,High,Low
Horseradish sauce,12.0,10.05,1.0,17.0,Medium,High,Low
Walnut oil,0.0,0.0,0.0,0.0,Low,High,Low
Honey,6.0,82.4,0.2,0.0,High,Low,Low
Jelly,12.666666666666666,45.71666666666667,1.5666666666666667,11.666666666666666,High,Low,Low
